pathway_id,pathway_name,study_count,study_total,background_count,background_total,study_fraction,background_fraction,enrichment_ratio,odds_ratio,p_value,study_locus_tags,study_VFG_IDs,fdr_bh,significant_fdr,minus_log10_fdr
pae01053,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1,3,30,5,158,0.1,0.03164556962025317,3.16,7.0,0.047612586688720704,PA4225;PA4226;PA4231,VFG000171;VFG016117;VFG020090,0.2856755201323242,False,0.5441269732222548
pae02020,Two-component system - Pseudomonas aeruginosa PAO1,6,30,25,158,0.2,0.15822784810126583,1.264,1.4342105263157894,0.3262018839797538,PA0413;PA0766;PA2130;PA4084;PA4302;PA5483,VFG000116;VFG014062;VFG014950;VFG042695;VFG042701;VFG042749,0.609842624835093,False,0.21478222397896726
pae03070,Bacterial secretion system - Pseudomonas aeruginosa PAO1,6,30,25,158,0.2,0.15822784810126583,1.264,1.4342105263157894,0.3262018839797538,PA0078;PA0081;PA0091;PA0683;PA0686;PA3097,VFG000176;VFG002064;VFG002067;VFG002077;VFG040875;VFG040878,0.609842624835093,False,0.21478222397896726
pae01110,Biosynthesis of secondary metabolites - Pseudomonas aeruginosa PAO1,3,30,12,158,0.1,0.0759493670886076,1.3166666666666667,1.4691358024691359,0.406561749890062,PA0051;PA0844;PA4231,VFG000157;VFG000171;VFG015552,0.609842624835093,False,0.21478222397896726
pae02025,Biofilm formation - Pseudomonas aeruginosa - Pseudomonas aeruginosa PAO1,4,30,27,158,0.13333333333333333,0.17088607594936708,0.7802469135802469,0.7023411371237458,0.8069699555495178,PA0081;PA0082;PA0089;PA0413,VFG002067;VFG002075;VFG014062;VFG020003,0.8368783634274267,False,0.07733766020399183
pae01100,Metabolic pathways - Pseudomonas aeruginosa PAO1,3,30,22,158,0.1,0.13924050632911392,0.7181818181818183,0.6374269005847953,0.8368783634274267,PA0051;PA0844;PA4231,VFG000157;VFG000171;VFG015552,0.8368783634274267,False,0.07733766020399183
