VF_category,VFC_ID,study_count,study_total_annotated,background_count,background_total_annotated,study_fraction,background_fraction,enrichment_ratio,odds_ratio,p_value,study_VFG_IDs,study_VF_IDs,study_VF_names,fdr_bh,significant_fdr,minus_log10_fdr
Biofilm,VFC0271,7,30,24,153,0.23333333333333334,0.1568627450980392,1.4875,1.89769820971867,0.15706198216844716,VFG000116;VFG014950;VFG042695;VFG042696;VFG042698;VFG042699;VFG042701,VF0091;VF0924;VF0925,Alginate;CupA fimbriae;CupB fimbriae,0.5259854913355154,False,0.27902623516152286
Nutritional/Metabolic factor,VFC0272,6,30,23,153,0.2,0.1503267973856209,1.3304347826086957,1.5588235294117647,0.27724728021340583,VFG000171;VFG015552;VFG015950;VFG016117;VFG020090;VFG044103,VF0094;VF0095;VF0100;VF0941,Direct heme uptake system;Pyochelin;Pyocyanin;Pyoverdine,0.5259854913355154,False,0.27902623516152286
Adherence,VFC0001,5,30,21,153,0.16666666666666666,0.13725490196078433,1.2142857142857142,1.3375,0.39448911850163654,VFG001230;VFG014062;VFG042749;VFG043480;VFG050297,VF0082;VF0928;VF0929;VF1191,Fap;PA2760;Type IV pili,0.5259854913355154,False,0.27902623516152286
Effector delivery system,VFC0086,10,30,54,153,0.3333333333333333,0.35294117647058826,0.9444444444444443,0.8977272727272727,0.6745858608860865,VFG000176;VFG000203;VFG002064;VFG002067;VFG002075;VFG002077;VFG015168;VFG020003;VFG040875;VFG040878,VF0083;VF0084;VF0334;VF0853;VF0945,HSI-1;Hxc;TTSS;TTSS secreted effectors;Xcp secretion system,0.6745858608860865,False,0.17096276573131644
